,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
329,WASP-142,SPOC,120, TEP  ,9.0,22.0,1.43,-23.0,56.0,45.8,12.3,11.44,0.1117,0.9,2457007.7779,0.0004,2.052868,2E-06,2017MNRAS.465.3693H,1.64,1.53,0.00878203265625,423275733,12.3368,21.52429568244,1.33,0.84,0.0347,3.09242885888161E-07,2.052868
332,WASP-145,SPOC,120, TEP  ,21.0,29.0,0.9,-58.0,50.0,10.1,11.5,9.19,0.0407,0.9,2456844.16526,0.00026,1.7690381,8E-07,arXiv:1803.02224,0.68,0.9,0.0176753114727509,381856447,10.7218,37.233922806765900,0.76,0.89,0.0261,2.91889617430937E-08,1.7690381000000000
338,WASP-153,SPOC,120, TEP  ,18.0,37.0,2.97,40.0,1.0,7.4,12.79,11.05,0.16,0.9,2453142.542,0.003,3.332609,2E-06,2018A+A...610..A63D,1.73,1.55,0.008099739886481340,157586003,12.0545,31.343344785680400,1.336,0.39,0.048,3.68623216029243E-08,3.332609
339,WASP-156,SPOC,120, TEP  ,2.0,11.0,7.61,2.0,25.0,4.8,11.57,9.34,0.1,0.5,2454677.707,0.002,3.836169,3E-06,2018A+A...610..A63D,0.76,0.51,0.00454373557868767,270380593,10.7307,32.2514387559778,0.842,0.128,0.0453,4.19541605289529E-10,3.836169
347,WASP-164,SPOC,120, TEP  ,22.0,59.0,29.62,-60.0,26.0,52.0,12.63,10.96,0.06682,1.5,2457203.85378,0.0002,1.7771255,2.8E-06,arXiv:1807.06973,0.932,1.128,0.0147804023579362,237320326,12.003,34.9693056568643,0.95,2.13,0.02818,1.84217473675765E-07,1.7771255
355,WASP-173,SPOC,120, TEP  ,23.0,36.0,40.32,-34.0,36.0,40.4,11.15,10.0,0.0957,1.3,2457288.8585,0.0002,1.38665318,2.7E-07,arXiv:1803.02224,1.11,1.2,0.0117927859751644,77031414,10.9571,71.48542076041330,1.05,3.69,0.0248,1.31067121942842E-06,1.38665318
357,WASP-175,SPOC,120, TEP  ,11.0,5.0,16.6,-34.0,7.0,20.3,12.65,11.47,0.1115,1.1,2457143.78886,0.00034,3.0652907,1.4E-06,arXiv:1904.10388,1.204,1.208,0.010157358404543000,448589187,12.3077,26.8271024812252,1.212,0.99,0.04403,2.59311506461995E-08,3.0652907000000000
363,WASP-182,SPOC,120, TEP  ,20.0,46.0,41.58,-41.0,49.0,15.2,11.99,10.43,0.1082,0.5,2458018.66018,0.00067,3.3769848,2.4E-06,arXiv:1904.10388,1.34,0.85,0.00406001966264758,369455629,11.4513,21.4030027088072,1.076,0.148,0.0451,6.61288442684609E-09,3.3769848
374,XO-2,SPOC,120, TEP  ,7.0,48.0,6.47,50.0,13.0,33.0,11.25,9.31,0.1126,1.4,2454147.75066,0.00012,2.61585937,2.4E-07,2018IBVS.6243....1M,0.998,1.019,0.0105193079125209,356473034,10.4467,113.348440700953,0.96,0.597,0.03616,2.06782557131578E-08,2.61585937
375,XO-3,SPOC,120, TEP  ,4.0,21.0,52.7,57.0,49.0,1.9,9.91,8.79,0.1192,0.8,2454721.14865,0.00014,3.191526,5E-08,arXiv:2012.07478,1.409,1.248,0.007916023351132660,8400842,9.441,115.85393973189800,1.206,11.83,0.04529,5.93582385858353E-07,3.191526
