,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
132,HATS-57,"TESS-SPOC, SPOC","1800, 120", TEP  ,4.0,3.0,47.6,-19.0,3.0,24.3,12.34,10.71,0.1037,1.9,2457778.49589,0.00025,2.350621,1.3E-06,arXiv:1812.07668,0.96,1.139,0.0142038103271512,178289267,11.7076,67.31487490485420,1.026,3.147,0.03493,9.98648893783885E-08,2.350621
134,HATS-59,"QLP, SPOC","1800, 120", TEP  ,11.0,21.0,18.0,-22.0,23.0,17.4,13.95,12.24,0.1497,1.5,2456620.66527,0.00052,5.416081,1.6E-05,arXiv:1805.05925,1.036,1.126,0.0119194756943937,437261733,13.2958,20.5281566981359,1.038,0.806,0.06112,2.25590051621758E-09,5.416081
135,HATS-60,"TESS-SPOC, SPOC","1800, 120", TEP  ,22.0,45.0,27.36,-14.0,59.0,30.3,12.64,10.99,0.1613,0.9,2457987.23688,0.00089,3.560827,2.6E-05,arXiv:1809.01048,1.46,1.194,0.00674843119313661,145750719,12.0213,32.193938889639500,1.0988,0.65,0.0471,3.51523736003223E-08,3.560827
136,HATS-61,"QLP, SPOC","1800, 120", TEP  ,4.0,6.0,37.87,-25.0,20.0,59.0,13.23,11.48,0.2307,0.6,2457673.0611,0.0013,7.817954,2.1E-05,arXiv:1809.01048,1.667,1.201,0.00523738737898581,44745133,12.5757,17.398326065561000,1.075,3.4,0.07904,2.74040026064862E-08,7.8179540000000000
138,HATS-63,"QLP, SPOC","1800, 120", TEP  ,4.0,29.0,40.45,-28.0,11.0,50.2,13.89,12.22,0.1019,1.5,2457659.93755,0.00086,3.0566528,4.7E-06,arXiv:1809.01048,1.07,1.207,0.0128394632037056,178879588,13.2554,17.4677214656322,0.931,0.96,0.04026,2.83904184596768E-08,3.0566528
142,HATS-68,"TESS-SPOC, SPOC","1800, 120", TEP  ,1.0,0.0,1.41,-58.0,54.0,17.1,12.28,10.95,0.142,0.6,2457650.68635,0.00087,3.5862234,4.8E-06,arXiv:1809.01048,1.769,1.284,0.00531586892430755,322307342,11.7806,23.695037645071800,1.337,1.286,0.05053,1.05027358003199E-07,3.5862234
143,HATS-69,"QLP, SPOC","1800, 120", TEP  ,19.0,17.0,11.36,-60.0,53.0,30.1,13.95,11.88,0.0982,1.8,2457755.3939,0.00052,2.2252577,1.9E-06,arXiv:1809.01048,0.8785,0.945,0.0116756204226917,467971286,13.191000000000000,21.610675627723700,0.892,0.0,0.03211,0.0,2.2252577
144,HATS-70,"QLP, SPOC","1800, 120", TEP  ,7.0,16.0,25.08,-31.0,14.0,39.9,12.57,12.04,0.151,0.7,2456911.87486,0.00084,1.8882378,1.5E-06,arXiv:1811.06925,1.881,1.384,0.0054625380020411700,98545929,12.4539,17.9167077931332,1.78,12.9,0.03632,5.60640790646987E-06,1.8882378
163,KELT-18,"TESS-SPOC, SPOC","1800, 120", TEP  ,14.0,26.0,5.78,59.0,26.0,39.2,10.21,9.21,0.1935,0.85,2457542.52463,0.00057,2.8716992,1.3E-06,2020AcA....70..181M,1.908,1.57,0.0068319148719091900,293687315,9.823,128.100007338111,1.524,1.18,0.0455,2.08464503162821E-07,2.8716992
169,KELT-25,"QLP, SPOC","1800, 120", TEP  ,7.0,12.0,29.55,-24.0,57.0,12.8,9.84,9.3,0.2051,0.56,2458493.31501,0.00037,4.401131,5.9E-05,arXiv:1912.01017,2.264,1.642,0.00530754081654667,65412605,9.50712,102.78557100111800,2.18,0.0,0.0681,0.0,4.401131
172,MASCARA-4,"QLP, SPOC","1800, 120", TEP  ,9.0,50.0,19.2,-66.0,6.0,49.9,8.19,7.75,0.165,0.5,2458505.817,0.003,2.82406,3E-05,arXiv:1904.02733,1.92,1.53,0.00640737712463379,371443216,8.0552,164.062418519945,1.75,3.1,0.047,4.18447237524086E-07,2.82406
174,NGTS-02,"QLP, SPOC","1800, 120", TEP  ,14.0,20.0,29.49,-31.0,12.0,6.7,10.96,9.8,0.1944,1.1,2457501.99114,0.0005,4.5111204,1.8E-06,arXiv:1809.07709,1.62,1.536,0.00907093979478738,125739286,10.5288,111.53346696921900,1.302,0.67,0.0584,1.75499087107791E-08,4.5111204
177,NGTS-09,"QLP, SPOC","1800, 120", TEP  ,9.0,27.0,40.96,-19.0,20.0,50.3,12.8,11.45,0.085,0.5,2457671.8109,0.0027,4.43527,2E-05,arXiv:1911.02814,1.38,1.07,0.00606609580038333,176685457,12.2682,10.945711733334,1.34,2.9,0.058,3.42648527523579E-08,4.43527
179,NGTS-11,"TESS-SPOC, SPOC","1800, 120", TEP  ,1.0,34.0,5.15,-14.0,25.0,8.9,12.46,10.32,0.14,1.0,2458390.7042,0.002,35.455285,0.0002,arXiv:2005.00006,0.832,0.823,0.009873085546185190,54002556,11.6235,43.5173851258395,0.862,0.37,0.201,1.08300636416436E-12,35.455285
184,Qatar-1,"TESS-SPOC, SPOC","1800, 120", TEP  ,20.0,13.0,31.62,65.0,9.0,43.5,12.84,10.41,0.06921,2.3,2455647.6336,8E-05,1.4200236,1E-07,2021AJ....161..108S,0.803,1.143,0.0204437825246275,236887394,11.8478,60.61964707106710,0.838,1.294,0.02332,1.55212058857794E-07,1.4200236000000000
185,Qatar-10,"TESS-SPOC, SPOC","1800, 120", TEP  ,18.0,57.0,46.54,69.0,34.0,15.0,12.88,11.38,0.1155,1.8,2458247.90746,0.00036,1.645321,1E-05,2019AJ....157..224A,1.254,1.543,0.0152769501435423,229791084,12.2856,45.37724582148480,1.156,0.736,0.0286,2.14228725069288E-07,1.6453210000000000
195,TrES-2,"TESS-SPOC, SPOC","1800, 120", TEP  ,19.0,7.0,14.04,49.0,18.0,59.0,11.41,9.85,0.07451,1.5,2453957.635499,1.3E-05,2.47061337,1.9E-07,2014MNRAS.444.1351R,0.964,1.193,0.0154534944925218,399860444,10.854000000000000,77.5191172820237,0.991,1.206,0.03567,3.64286839824068E-08,2.47061337
250,WASP-058,"TESS-SPOC, SPOC","1800, 120", TEP  ,18.0,18.0,48.25,45.0,10.0,19.1,11.66,10.29,0.1582,1.4,2457261.0597,0.00062,5.0172131,2.6E-06,arXiv:1812.05882,1.17,1.37,0.0138346855666959,424435940,11.2311,83.4271971325677,0.94,0.89,0.0561,7.75670654990012E-09,5.017213100000000
331,WASP-144,"TESS-SPOC, SPOC","1800, 120", TEP  ,21.0,23.0,3.09,-40.0,2.0,54.4,12.9,10.9,0.0814,1.3,2457157.27493,0.00015,2.2783152,1.3E-06,arXiv:1803.02224,0.81,0.85,0.0111113722088858,207077681,12.3119,27.009619648181900,0.81,0.44,0.0316,1.24812345617957E-08,2.2783152
333,WASP-146,"TESS-SPOC, SPOC","1800, 120", TEP  ,23.0,56.0,22.02,-13.0,16.0,17.6,12.7,11.14,0.0998,1.0,2457109.72182,0.00021,3.396944,3.6E-06,arXiv:1812.09264,1.232,1.228,0.0100247880694731,327952677,12.141000000000000,25.9145554826943,1.057,1.11,0.0451,3.31679803420778E-08,3.3969440000000000
334,WASP-147,"TESS-SPOC, SPOC","1800, 120", TEP  ,23.0,56.0,45.97,-22.0,9.0,11.4,12.3,10.86,0.1831,0.8,2456562.595,0.0013,4.60273,2.7E-05,arXiv:1807.06973,1.37,1.115,0.0066835697176527800,114749636,11.7607,36.3550280655765,1.04,0.275,0.0549,5.31301049983392E-09,4.60273
342,WASP-159,"TESS-SPOC, SPOC","1800, 120", TEP  ,4.0,32.0,32.76,-38.0,58.0,6.0,12.82,11.02,0.2328,0.5,2457668.0849,0.0009,3.840401,7E-06,arXiv:1803.02224,2.11,1.38,0.0043161163587969700,77156657,11.8831,23.6013477824353,1.41,0.55,0.0538,7.51527161070645E-08,3.840401
344,WASP-161,"QLP, SPOC","1800, 120", TEP  ,8.0,25.0,21.09,-11.0,30.0,3.6,11.09,9.84,0.2137,0.6,2457416.5289,0.0011,5.4060425,4.8E-06,arXiv:1807.06548,1.712,1.143,0.004497641362619860,50712784,10.5579,62.701955257847000,1.39,2.49,0.0673,3.96212555370524E-08,5.4060425
345,WASP-162,"QLP, SPOC","1800, 120", TEP  ,11.0,13.0,10.29,-17.0,39.0,28.1,12.21,10.47,0.1774,1.0,2457701.3816,0.0006,9.62468,1E-05,arXiv:1803.02224,1.11,1.0,0.00818943470497524,308098254,11.5688,50.776700084035500,0.95,5.2,0.0871,3.82035801285689E-09,9.62468
348,WASP-165,"TESS-SPOC, SPOC","1800, 120", TEP  ,23.0,50.0,19.31,-17.0,4.0,39.3,12.68,11.02,0.174,0.6,2457649.71142,0.00093,3.465509,2.3E-05,arXiv:1807.06973,1.65,1.26,0.0058840056892562,228381868,12.0719,21.5319195121736,1.25,0.658,0.04823,5.12211704406666E-08,3.4655090000000000
349,WASP-167,"QLP, SPOC","1800, 120", TEP  ,13.0,4.0,10.53,-35.0,32.0,58.3,10.53,9.76,0.1135,0.8,2456592.4643,0.0002,2.0219596,6E-07,2017MNRAS.471.2743T,1.79,1.56,0.007663779783402520,104024556,10.3182,70.0435009740542,1.59,0.0,0.0365,0.0,2.0219596
350,WASP-168,"TESS-SPOC, QLP, SPOC","1800, 120", TEP  ,6.0,26.0,58.7,-46.0,49.0,17.1,11.85,10.44,0.0797,1.0,2457424.5278,0.0004,4.153658,3E-06,arXiv:1803.02224,1.12,1.5,0.0180986572265625,232038798,11.3187,40.0061845435972,1.08,0.42,0.0519,3.77901891029135E-09,4.153658
351,WASP-169,"QLP, SPOC","1800, 120", TEP  ,8.0,29.0,32.97,-12.0,56.0,40.9,12.17,10.48,0.2522,0.5,2457697.0176,0.0014,5.6114118,9.2E-06,arXiv:1904.10388,2.011,1.304,0.00424258863032041,386259537,11.3299,35.3291956942153,1.337,0.561,0.0681,1.95639459151066E-08,5.611411800000000
352,WASP-170,"QLP, SPOC","1800, 120", TEP  ,9.0,1.0,39.93,-20.0,43.0,13.6,12.79,10.76,0.085,1.4,2457802.3915,0.0002,2.34478022,3.6E-07,arXiv:1807.06548,0.938,1.096,0.0137757519358432,118956453,11.9397,38.4311766996658,0.93,1.6,0.0337,5.96763053900325E-08,2.34478022
353,WASP-171,"QLP, SPOC","1800, 120", TEP  ,11.0,27.0,22.86,-44.0,5.0,19.3,13.05,11.07,0.1908,0.4,2458059.8295,0.0011,3.8186244,3.8E-06,arXiv:1904.10388,1.637,0.98,0.00361621859234882,162922904,12.0233,15.5406721003822,1.171,1.084,0.0504,6.94805596743281E-08,3.8186244
354,WASP-172,"QLP, SPOC","1800, 120", TEP  ,13.0,17.0,44.12,-47.0,14.0,15.3,11.09,10.13,0.2206,0.7,2457032.2617,0.0005,5.477433,7E-06,arXiv:1803.02224,1.91,1.57,0.00681761468771415,453789494,10.7316,67.0262858247116,1.49,0.47,0.0694,1.03414462636636E-08,5.477433
360,WASP-178,"QLP, SPOC","1800, 120", TEP  ,15.0,9.0,4.89,-42.0,42.0,17.8,9.95,9.7,0.1446,1.2,2456927.06839,0.00047,3.3448285,1.2E-06,arXiv:1907.11667,1.67,1.81,0.0118528855140916,160708862,9.8787,151.669618655808,2.07,1.66,0.0558,3.99806002159374E-08,3.3448285
361,WASP-180,"QLP, SPOC","1800, 120", TEP  ,8.0,13.0,34.15,-1.0,58.0,57.9,10.68,9.81,0.13,1.3,2457763.3147,0.0003,3.409265,1E-06,arXiv:1903.08002,1.19,1.29,0.0118572883131488,178367144,10.5572,106.00388226976100,1.3,0.8,0.048,1.19667291332628E-08,3.409265
364,WASP-183,"QLP, SPOC","1800, 120", TEP  ,10.0,55.0,9.36,0.0,44.0,13.7,12.76,11.21,0.084,2.0,2457796.1845,0.0024,4.1117771,5.1E-06,arXiv:1903.06622,0.871,1.47,0.028740759571721000,14344979,12.3353,41.522930678891700,0.784,0.502,0.04632,3.12561787591078E-09,4.1117771
370,WASP-190,"TESS-SPOC, SPOC","1800, 120", TEP  ,0.0,30.0,50.23,-40.0,34.0,24.4,11.65,10.65,0.186,0.6,2457799.1256,0.0007,5.367753,4E-06,arXiv:1811.05742,1.6,1.15,0.0052126143774414,116156517,11.3151,36.7539106506011,1.35,1.0,0.0663,1.25892166913041E-08,5.367753
371,WASP-192,"QLP, SPOC","1800, 120", TEP  ,14.0,54.0,38.09,-38.0,44.0,40.3,12.7,11.14,0.0964,0.9,2457271.3331,0.0017,2.8786765,2.8E-06,arXiv:1907.11667,1.32,1.23,0.00876117272856405,160578764,12.1014,23.557340753242900,1.09,2.3,0.0408,1.55299617037895E-07,2.8786765
373,XO-1,"QLP, SPOC","1800, 120", TEP  ,16.0,2.0,11.84,28.0,10.0,10.4,11.14,9.53,0.1238,1.9,2455314.572766,4.9E-05,3.94150514,2E-07,2018MNRAS.481.4261S,0.93,1.199,0.0167715171744739,236312126,10.5484,151.974920205152,1.018,0.907,0.04914,4.49157542749094E-09,3.94150514
,WASP-047b,,, TEP  ,22,4,48.72,-12,1,7.8,11.93,10.19,0.14933,1.3,2457007.932131,0.000023,4.1591287,0.0000049,2015ApJ...812L..18B,,,,,,,,,,,
1,CoRoT-02,,, TEP  ,19.0,27.0,6.5,1.0,23.0,1.4,12.57,10.31,0.09446,3.2,2455628.44758,0.00014,1.74299673,3.1E-07,2015MNRAS.450.3101B,0.901,1.46,0.0264945173127404,391958006,11.6659,111.232488577109,0.997,3.57,0.02835,2.4106374694044E-07,1.74299673
3,CoRoT-06,,, TEP  ,18.0,44.0,17.4,6.0,39.0,47.4,13.91,12.12,0.17,1.5,2454826.66625,0.00054,8.886621,6.3E-06,arXiv:2005.01684,1.043,1.185,0.0130247071106031,130502317,13.2491,22.6704789720778,1.054,2.96,0.0855,1.57522383582306E-09,8.886621
4,CoRoT-10,,, TEP  ,19.0,24.0,15.29,0.0,44.0,46.1,15.22,11.78,0.124,1.4,2454273.3436,0.0012,13.2406,0.0002,2010A+A...520A..65B,0.743,0.941,0.0161845825278236,405010127,13.8215,11.556596598895200,0.904,2.78,0.106,1.0804167636535E-10,13.2406
5,CoRoT-11,,, TEP  ,18.0,42.0,44.95,5.0,56.0,15.7,12.8,11.25,0.104,1.2,2454690.49838,0.00016,2.994325,2.1E-05,2012A+A...543L...5G,1.374,1.426,0.0108683963453585,110178537,12.419,26.1297628851345,1.26,2.34,0.044000000000000000,1.14502718993674E-07,2.994325
6,CoRoT-14,,, TEP  ,6.0,53.0,41.8,-5.0,32.0,9.7,16.03,13.81,0.0693,0.75,2454787.6694,0.0053,1.51214,0.00013,2011A+A...528A..97T,1.19,1.018,0.007384167089619380,282706928,15.2135,1.42904408765125,1.125,7.67,0.02687,2.411790179411E-06,1.51214
7,CoRoT-09,,, TEP  ,18.0,43.0,8.81,6.0,12.0,15.2,13.69,11.69,0.337,1.6,2455365.52723,0.00037,95.272656,6.8E-05,2017A+A...603A..43B,0.96,1.066,0.0124414736893338,130162252,12.9497,42.6565948030149,0.96,0.84,0.4021,1.40926951940464E-13,95.272656
17,HAT-P-08,,, TEP  ,22.0,52.0,9.86,35.0,26.0,49.6,10.3,8.95,0.1587,0.7,2454437.6742,0.0014,3.0763458,2.4E-06,2013A+A...551A..11M,1.475,1.321,0.00809322243530135,188876052,9.7758,98.0070186173993,1.192,1.275,0.0439,9.50980552758064E-08,3.0763458
21,HAT-P-13,,, TEP  ,8.0,39.0,31.81,47.0,21.0,7.3,10.62,8.97,0.1345,0.8,2455176.53893,0.00022,2.9162433,1.2E-06,2016PASP..128b4402S,1.756,1.487,0.00723557077709568,20096620,9.9596,93.28697450739660,1.32,0.906,0.04383,1.47102372496841E-07,2.9162433
23,HAT-P-15,,, TEP  ,4.0,24.0,59.52,39.0,27.0,38.2,12.16,9.64,0.2285,1.3,2454638.56019,0.00048,10.863502,3.7E-05,2010ApJ...724..866K,1.08,1.072,0.00994127166474623,353459965,11.0878,101.871454010557,1.013,1.946,0.0964,7.03991158157519E-10,10.863502
28,HAT-P-20,,, TEP  ,7.0,27.0,39.96,24.0,20.0,11.0,11.34,8.6,0.077,1.9,2456670.97803,0.0001,2.875317,4E-07,arXiv:2012.07478,0.68,1.025,0.0229260791556282,26826078,10.2832,139.793223952212,0.748,7.22,0.03593,4.86624850535608E-08,2.875317
31,HAT-P-23,,, TEP  ,20.0,24.0,29.99,16.0,45.0,43.7,12.43,10.79,0.0908,1.8,2456129.43472,9E-05,1.21288641,7E-08,arXiv:2002.02606,1.089,1.224,0.0127469698408579,305243225,11.734000000000000,58.6364679855457,1.104,2.07,0.02302,9.22389351247937E-07,1.21288641
34,HAT-P-26,,, TEP  ,14.0,12.0,37.54,4.0,3.0,36.1,11.74,9.58,0.1023,0.6,2455304.65218,0.00025,4.23450236,3E-08,arXiv:1904.06360,0.788,0.565,0.00518733556176161,420779000,10.9016,35.2930882796997,0.816,0.059,0.0479,1.80890425104816E-10,4.23450236
35,HAT-P-27,,, TEP  ,14.0,51.0,4.19,5.0,56.0,50.5,12.16,10.11,0.0705,1.5,2455186.01991,0.00044,3.0395803,1.5E-06,2015MNRAS.451.4060S,0.898,1.038,0.0134816148511292,461239485,11.4063,53.356936513132,0.945,0.66,0.0403,7.96652247656911E-09,3.0395803
36,HAT-P-28,,, TEP  ,0.0,52.0,0.18,34.0,43.0,42.3,13.03,11.1,0.1341,1.5,2457713.934,0.0005,3.2572124,1.2E-06,arXiv:2012.07478,1.103,1.212,0.0121829958689768,53728859,12.3396,39.229200280402300,1.025,0.626,0.0434,1.34455814711515E-08,3.2572124
45,HAT-P-37,,, TEP  ,18.0,57.0,11.05,51.0,16.0,8.8,13.23,11.67,0.0971,2.1,2457303.82448,0.00024,2.7974418,7E-07,arXiv:2012.07478,0.877,1.178,0.0182050248606021,267572272,12.7678,34.366821746894400,0.929,1.169,0.0379,1.73340849371667E-08,2.7974418
47,HAT-P-39,,, TEP  ,7.0,35.0,1.97,17.0,49.0,48.3,12.42,11.16,0.1745,1.1,2455208.75049,0.00041,3.54387,5E-06,2012AJ....144..139H,1.625,1.571,0.009430734567877870,14770122,11.8887,44.7841586699455,1.404,0.599,0.0509,2.93790559028647E-08,3.54387
49,HAT-P-41,,, TEP  ,19.0,49.0,17.4,4.0,40.0,20.7,11.36,9.73,0.1704,0.8,2456600.29325,0.0005,2.69404861,9.2E-07,arXiv:2003.00536,1.683,1.685,0.0101141982168554,398895470,10.5523,74.9006063270894,1.418,0.8,0.0426,1.12742210757859E-07,2.69404861
53,HAT-P-45,,, TEP  ,18.0,17.0,29.4,-3.0,22.0,51.7,12.79,10.2,0.1436,1.5,2456502.84809,0.00033,3.1289923,1.4E-06,arXiv:1812.05882,1.319,1.426,0.0117936800623132,167227214,11.6961,63.015573416886,1.259,0.892,0.0452,3.11294275287162E-08,3.1289923
54,HAT-P-46,,, TEP  ,18.0,1.0,46.56,-2.0,58.0,15.4,11.94,9.93,0.1291,1.0,2455969.12547,0.00044,4.4631365,5E-06,arXiv:1812.05882,1.396,1.284,0.0085360921158488,104866616,11.1323,57.2864376382624,1.284,0.493,0.0577,6.6089144074044E-09,4.4631365
62,HAT-P-54,,, TEP  ,6.0,39.0,35.53,25.0,28.0,57.1,13.51,10.33,0.07488,2.7,2457811.6454,0.0004,3.7998518,1.1E-06,2015AJ....149..149B,0.617,0.944,0.0236196546131882,284326455,12.2341,56.813778259712700,0.645,0.76,0.04117,1.84959042698005E-09,3.7998518
64,HAT-P-56,,, TEP  ,6.0,43.0,23.53,27.0,15.0,8.2,10.91,9.83,0.09463,1.0,2457404.8183,0.0004,2.7908233,1.1E-06,arXiv:2012.07478,1.428,1.466,0.01063436121708,84339983,10.5136,71.3762813021779,1.296,2.18,0.0423,1.53140795423174E-07,2.7908233
65,HAT-P-57,,, TEP  ,18.0,18.0,58.32,10.0,35.0,50.3,10.47,9.43,0.14578,1.0,2455113.48127,0.00048,2.465295,3.2E-06,2015AJ....150..197H,1.5,1.413,0.00895368245121,317520667,10.1154,111.328272620235,1.47,0.0,0.0406,0.0,2.465295
66,HAT-P-58,,, TEP  ,4.0,35.0,23.18,56.0,52.0,5.6,12.97,10.98,0.1729,0.8,2457369.03094,0.00056,4.0138379,2.4E-06,arXiv:2007.05528,1.53,1.332,0.007647605382698960,9443323,12.1957,26.272548024093200,1.031,0.372,0.04994,2.02208284504643E-08,4.0138379
68,HAT-P-60,,, TEP  ,1.0,53.0,7.77,52.0,3.0,14.0,9.71,8.37,0.2098,0.8,2458360.94029,0.00056,4.7947813,2.4E-06,arXiv:2007.05528,2.197,1.631,0.00556093335630279,354469661,9.17925,175.608482253565,1.435,0.574,0.06277,4.36264463905534E-08,4.7947813
69,HAT-P-61,,, TEP  ,5.0,1.0,55.26,50.0,7.0,52.6,13.19,11.14,0.0691,1.0,2457851.21119,0.00047,1.90231289,7.7E-07,arXiv:2007.05528,0.938,0.899,0.00926858823916797,259506033,12.3824,18.215045890044,1.004,1.057,0.0301,6.42426126227883E-08,1.90231289
70,HAT-P-62,,, TEP  ,4.0,58.0,1.03,48.0,18.0,3.8,12.22,10.7,0.1293,0.9,2457118.38979,0.00044,2.6453235,3.9E-06,arXiv:2007.05528,1.17,1.073,0.00848648020609431,453064665,11.8889,31.536766100423700,1.023,0.761,0.03772,4.43486207339106E-08,2.6453235
71,HAT-P-63,,, TEP  ,17.0,58.0,17.31,5.0,45.0,40.9,13.75,11.51,0.1222,1.4,2456382.94256,0.00053,3.377728,1.3E-05,arXiv:2007.05528,0.966,1.119,0.0135395990087429,325670253,12.8999,23.321520008539,0.925,0.614,0.04294,7.94149517003404E-09,3.377728
72,HAT-P-64,,, TEP  ,4.0,35.0,53.85,2.0,25.0,52.6,12.77,11.12,0.2052,1.0,2457751.46354,0.00063,4.007232,1.7E-06,arXiv:2007.05528,1.735,1.703,0.00972143148845103,455036659,12.1569,36.7527770667989,1.298,0.58,0.05387,3.2152594631908E-08,4.007232
73,HAT-P-65,,, TEP  ,21.0,3.0,37.44,11.0,59.0,21.9,13.15,11.53,0.1819,1.3,2456409.33263,0.00046,2.6054552,3.1E-06,2016AJ....152..182H,1.86,1.89,0.0104183178258325,283419843,12.5375,34.4036281224225,1.212,0.527,0.03951,2.08755426789077E-07,2.6054552
85,HATS-09,,, TEP  ,19.0,23.0,14.28,-20.0,9.0,58.7,13.28,11.48,0.14618,0.7,2457380.70247,3.6E-05,1.915311,9.4E-07,arXiv:1706.03858,1.503,1.1724,0.00613950758897216,12611594,12.5866,16.0312707024124,1.03,0.816,0.03048,4.79593435239512E-07,1.915311
86,HATS-10,,, TEP  ,19.0,37.0,13.8,-22.0,12.0,16.1,13.11,11.51,0.1253,1.2,2456457.88193,0.00022,3.312846,5.8E-06,2015AJ....150...33B,1.105,0.969,0.007759306017159770,126325985,12.5192,26.705054424769800,1.101,0.526,0.04491,8.94529662085833E-09,3.312846
87,HATS-11,,, TEP  ,19.0,17.0,36.24,-22.0,23.0,23.7,14.02,12.24,0.18202,1.5,2457378.4191,6.9E-05,3.6191634,3.1E-06,arXiv:1706.03858,1.444,1.487,0.0107000900525062,11439959,13.3735,21.324513295884100,1.0,0.83,0.04614,5.17399868188249E-08,3.6191634
88,HATS-12,,, TEP  ,19.0,16.0,48.72,-19.0,21.0,21.2,12.76,11.39,0.18849,0.5,2457364.66541,0.00012,3.1428347,1.1E-05,arXiv:1706.03858,2.21,1.384,0.00395719557745337,11270200,12.2994,15.9473064080019,1.489,2.39,0.04795,6.93141210098947E-07,3.1428347000000000
91,HATS-15,,, TEP  ,20.0,44.0,22.2,-19.0,26.0,15.0,14.77,12.72,0.1175,1.9,2456387.21161,0.00015,1.74748753,9.4E-07,2016PASP..128g4401C,0.922,1.105,0.0144931436276444,271898990,14.0739,12.452077594781200,0.871,2.17,0.02712,2.34935131239374E-07,1.74748753
107,HATS-31,,, TEP  ,12.0,46.0,48.72,-24.0,25.0,38.5,13.11,11.57,0.1914,1.0,2456960.1476,0.0011,3.37796,1.2E-05,2016AJ....152..161D,1.87,1.64,0.007760762001773,9385460,12.5329,27.2362431209686,1.275,0.88,0.0478,1.31323135388844E-07,3.37796
110,HATS-34,,, TEP  ,0.0,3.0,5.88,-62.0,28.0,9.6,13.85,12.1,0.0648,1.6,2457346.74007,0.00046,2.1061619,1.3E-06,2021MNRAS.501.5393L,0.9381,1.282,0.0188441980778509,355703913,13.183,15.6994065640767,0.952,0.951,0.03165,4.7448324667932E-08,2.1061619
112,HATS-36,,, TEP  ,19.0,25.0,54.84,-23.0,12.0,10.0,14.39,12.81,0.14301,1.4,2457360.39033,8.5E-05,4.1752387,2.2E-06,2018AJ....155..119B,1.155,1.235,0.0115363873301194,119262291,13.7805,12.8237109343838,1.222,3.216,0.05425,2.39032112037029E-08,4.1752387
113,HATS-37,,, TEP  ,13.0,19.0,12.46,-22.0,59.0,12.7,12.27,9.95,0.1214,0.8,2458006.80145,0.0005,4.3315366,4.1E-06,arXiv:2007.07135,0.877,0.606,0.00481776867767306,6036597,11.3876,37.7945838550484,0.843,0.099,0.04913,4.41948813463798E-10,4.3315366
125,HATS-50,,, TEP  ,20.0,1.0,42.6,-26.0,4.0,39.3,14.03,12.29,0.1283,1.3,2456870.34792,0.00068,3.8297015,4.6E-06,2018AJ....155...79H,1.117,1.13,0.0103264351711444,301031110,13.4041,15.154129885046700,1.168,0.39,0.05046,3.68511974982089E-09,3.8297015
129,HATS-54,,, TEP  ,13.0,22.0,32.37,-44.0,41.0,19.7,13.91,12.17,0.1042,0.9,2457780.01102,0.00089,2.5441828,4.3E-06,arXiv:1812.07668,1.317,1.067,0.00662303684487045,363851359,13.2755,10.4368181395872,1.097,0.76,0.03763,7.55379081802773E-08,2.5441828
133,HATS-58,,, TEP  ,12.0,27.0,8.97,-48.0,58.0,42.2,11.55,10.29,0.1325,0.7,2457463.2999,0.0017,4.2180896,8.9E-06,arXiv:1812.07668,1.433,1.095,0.005891633728041640,21113347,11.4007,34.259169428444100,1.461,1.03,0.05798,1.34997930784122E-08,4.218089600000000
137,HATS-62,,, TEP  ,20.0,49.0,47.83,-24.0,18.0,12.5,14.02,12.11,0.1144,1.8,2455772.00565,0.00036,3.2768838,2.3E-06,arXiv:1809.01048,0.923,1.032,0.0126140885301005,336732544,13.3102,21.298177463603500,0.9113,0.0,0.04186,0.0,3.2768838
140,HATS-65,,, TEP  ,19.0,31.0,45.55,-26.0,44.0,24.7,12.5,11.1,0.1193,1.7,2457418.49101,0.00038,3.1051602,1.4E-06,arXiv:1809.01048,1.296,1.479,0.0131409337889151,169504920,11.9801,53.7886943024241,1.269,0.793,0.04511,2.53964283510223E-08,3.1051602000000000
141,HATS-67,,, TEP  ,12.0,0.0,50.12,-46.0,8.0,11.1,13.65,12.33,0.0807,1.5,2457787.22633,0.00047,1.6091789,4.2E-06,arXiv:1809.01048,1.441,1.694,0.013944364692617000,272212970,13.174000000000000,16.5373817167591,1.441,1.477,0.03036,5.1265805863006E-07,1.6091789
147,HD_003167c,,, TEP  ,0.0,34.0,57.52,4.0,22.0,53.3,8.94,7.07,0.215,0.1,2457394.9787,0.0012,29.8454,0.0012,2017AJ....154..122C,0.88,0.269,0.000942842385204674,318707987,8.2491,34.4289176897328,0.837,0.0308,0.1795,2.16379723157133E-13,29.8454
150,HD_189733,,, TEP  ,20.0,0.0,43.71,22.0,42.0,39.1,7.68,5.54,0.07529,2.6,2453955.525551,9E-06,2.2185752,7E-08,2015MNRAS.450.3101B,0.752,1.151,0.0236382242428038,256364928,6.8481,922.164530634776,0.84,1.15,0.03142,2.23242593809636E-08,2.2185752
